eid,cid,et,tp,id
"3238899821109","516883323360","Vehicle","32749.72","09/06/2023"
"1038116452981","5946965864315","Property","10208.87","09/06/2023"
"4039831872345","7267209905505","Property","46203.10","09/06/2023"
"7278741427990","8797697325867","Property","18359.71","10/06/2023"
"5450054317572","928896787519","Vehicle","21743.98","11/06/2023"
"9731996194983","3363028152700","Property","37795.47","10/06/2023"
,"864182324064","Bodily Injury","25056.64","09/06/2023"
"1956147434589","6589423950122","Vehicle","11855.26","11/06/2023"
"1416985762536","919620259590","Vehicle","10141.93","11/06/2023"
"4306026045581","1233321901651","Vehicle","41937.70","10/06/2023"
"257733807954","2966773264895","Bodily Injury","2290.86","11/06/2023"
"251469089527","6907805161421","Vehicle","3975.98","11/06/2023"
"7446270179136","9569633016771","Vehicle","7762.58","10/06/2023"
"1052901846127","3145094910392","Bodily Injury","32944.04","09/06/2023"
"2624892134029","6319811128327","Bodily Injury","36714.46","11/06/2023"
"6735334928621","406714015523","Vehicle","20096.33","09/06/2023"
"7016600674460","6847378341947","Property","7867.99","09/06/2023"
"775781864705","1718333591394","Vehicle","34068.66","09/06/2023"
"2398823315398","2442002554528",,"33192.60",
"1746490260412","6185904880916","Bodily Injury","27925.83","09/06/2023"
"3408744938197","547591136689","Property","10279.23","11/06/2023"
"7926040233683","5878091438231","Property","17755.41","11/06/2023"
"4388625473899","2664934815627","Property","38281.24","10/06/2023"
"2438116678552","9144257247505","Property","23424.34",
"7619910200809","8916652156075","Property","46522.97","10/06/2023"
"4613397841613","6467627841387","Bodily Injury","49561.43","09/06/2023"
"1292555590675","6791590272046","Vehicle","49524.28","09/06/2023"
"1462851642742","7928526974421","Property","33817.86","10/06/2023"
"3976281958770","3953016013551","Property","44437.68","11/06/2023"
"6622398066334","932803677900","Bodily Injury","35977.81","11/06/2023"
"8438997628573","2634577502719","Property","2970.09",
"5343184532453","4269159214188","Property","48454.34","09/06/2023"
"4856461700831","7639191348765",,"49836.75","09/06/2023"
"1784965073785","9186734655868",,"33075.30","10/06/2023"
"9825994444178","8673091841547","Vehicle","1029.44","09/06/2023"
"1320545348404","3616755581956","Vehicle","24107.31","10/06/2023"
"7821102536155","9970356587265","Vehicle",,"09/06/2023"
"8369378671869","7179108913795","Bodily Injury","16715.85","10/06/2023"
"5243503649011","542984512030","Property","31361.75","11/06/2023"
"6781638944860","5499257606368","Vehicle","3017.94","09/06/2023"
"7164620054217","5234944030667","Property","33778.82","10/06/2023"
"4862259648051","7542988300031","Vehicle","4765.66",
"5716413833762","8078637760777","Vehicle","37657.10","11/06/2023"
"5361093839697","558100557940","Vehicle","40831.66","11/06/2023"
"1237109483856","534984119321","Bodily Injury","2655.22","10/06/2023"
"1042667779161","4586489508241",,"46059.53","10/06/2023"
"2419136777277","5522349712183","Bodily Injury","40280.93","11/06/2023"
"9517473530259","2335495303193","Vehicle","6381.35","11/06/2023"
"4019883300386","3922108933710","Bodily Injury",,"10/06/2023"
"357405151833","3474326934902","Bodily Injury","28581.57","09/06/2023"
"893033750652","5144097504944","Vehicle","33659.19","11/06/2023"
,"5288673081291","Vehicle","18343.18","11/06/2023"
"996704345996","1393921927176","Property","12918.65",
"5206038527719","8682431180355",,"35927.51","11/06/2023"
"1079726083172","214058680147","Vehicle","48525.82","11/06/2023"
"9498207700056","259784775365","Vehicle","44404.87","11/06/2023"
"1419570545387","9153252112862","Property",,"09/06/2023"
"8701288746501","2038256531219",,"24525.07","09/06/2023"
,"5895236598335","Bodily Injury","2325.07","09/06/2023"
"8576982095452","648263792655","Property","39449.56","09/06/2023"
"9410004604969","8798830598992","Property","24144.60","10/06/2023"
"5848296003474","8557065821221","Vehicle","30962.46","09/06/2023"
"8493173595963","3631023805904",,"270.95","11/06/2023"
"436406499948","1026529605884","Property","394.63","10/06/2023"
"6182964679926","1418303197301","Vehicle","12107.18","09/06/2023"
"848162483387","9111733307744","Property",,"10/06/2023"
"4698410126965","918108278440","Bodily Injury","44072.67","10/06/2023"
"8591501389560","9658155964547","Bodily Injury","20071.73","11/06/2023"
"6303556912200","3780182905511","Vehicle","2199.60","10/06/2023"
"9203657926369","3882591781974","Property","6427.10","09/06/2023"
"2652377539358","458007060216","Vehicle","7995.61","09/06/2023"
"1950672398748","7928990801130","Bodily Injury","46081.73","09/06/2023"
"4348346520572","3049359072557","Property","29374.47","10/06/2023"
"5727216854942","4398966677460","Bodily Injury","46250.14","10/06/2023"
"2237396883687","5842413613925","Property","21576.02","11/06/2023"
"922364779860","9290076043930","Property","3296.72","09/06/2023"
"4082964822253","6846945159290","Bodily Injury","31590.54","09/06/2023"
"1090381138881","1635743188404","Property","36447.08","10/06/2023"
"9497955214210","6824115313894","Bodily Injury","34892.58","11/06/2023"
"8958556491979","1464507182181","Vehicle","10184.50","11/06/2023"
"3638507302379","1452557915820","Bodily Injury","48368.52","09/06/2023"
,"4528179402279","Property","502.38","09/06/2023"
"2315893778326","9749646843804","Vehicle","5723.75","09/06/2023"
